ratingdif;Y
309.683975;0
749.6601553;0
5.705456257;1
177.8147321;1
257.4589318;0
248.619671;0
201.4848068;0
60.3949885;1
169.5837557;0
377.0087041;1
442.8688563;0
181.86658;0
369.1829342;1
107.0387913;0
301.40902;0
95.58664628;0
398.8086174;0
810.7709981;0
190.5049515;0
148.7981441;0
288.5051271;0
408.9730052;0
271.0678269;0
203.8972696;0
122.9756048;0
179.1596845;0
13.070775;0
284.2135539;1
736.1127825;1
128.17168;1
1.976350758;0
119.1040303;0
202.3263006;1
177.6259172;1
249.7117221;0
633.8820731;0
525.4651591;0
121.9583557;1
199.6424785;0
261.3128942;0
527.5279439;0
608.4413776;0
153.2573487;1
60.85543347;1
219.0174126;0
0.066677228;0
41.90512599;0
101.5818869;0
511.3665346;0
407.3363033;0
365.7526585;1
458.7281157;1
203.4654881;0
254.1844793;1
82.33609735;1
503.0654212;0
283.7079711;0
16.71122733;1
27.24215433;1
286.3343555;1
290.5925422;1
460.4668789;0
327.0762015;0
2.351950012;1
34.33351979;1
241.4123247;1
221.8403575;0
88.71221203;0
425.0148224;0
652.2551073;0
490.1463044;1
224.5430855;0
312.9765255;0
79.55743721;0
243.6408399;1
138.8521516;1
428.1919766;0
548.523248;0
355.3314442;0
85.28499954;0
243.5143329;0
89.89919913;0
179.3173667;1
226.8064776;0
472.7089163;0
569.3310899;0
163.7276058;1
209.8647417;0
348.6803594;1
70.37751084;0
315.1093349;0
156.1050194;0
459.4036845;0
515.8250127;0
91.98986915;0
279.4033046;0
345.6756443;0
256.8839693;1
51.93992838;0
107.0556262;0
23.90085535;0
404.5766302;0
191.9165391;0
407.3182364;1
172.8434514;0
234.0026317;0
250.013727;0
429.1919816;0
825.0740261;0
32.66539591;1
149.0859551;0
175.6607364;0
178.6656192;1
77.878086;0
619.9760765;1
105.9784273;0
320.6553095;0
243.6436562;0
245.5094646;1
129.4937406;0
334.582818;0
491.2832072;0
354.5882489;0
566.0639416;0
43.98637858;0
235.9494098;1
136.3808078;0
115.5824351;0
151.9165681;0
423.6099832;0
415.5119237;0
217.7546642;1
357.8663839;1
222.4048731;0
303.1354714;1
54.82941579;0
95.56901883;0
344.559104;0
313.3813144;0
163.3759269;0
101.9282134;0
295.535603;0
315.4048294;0
298.7547363;0
