P(fav);Y
0.703535136;0
0.655252846;1
0.53241692;0
0.566513207;0
0.514933592;0
0.733302173;0
0.617698603;0
0.734640468;1
0.606377077;0
0.642218605;0
0.651362658;0
0.745163207;0
0.887223112;0
0.520404534;1
0.592114828;0
0.608056913;0
0.609845789;1
0.548520631;0
0.824905093;1
0.565851754;0
0.690324815;0
0.647737558;0
0.648801144;1
0.580234072;0
0.697718504;0
0.773504782;0
0.708161296;0
0.804578513;0
0.527463817;0
0.643336126;1
0.584421761;0
0.571740547;0
0.593822795;0
0.742504169;0
0.738614501;0
0.632832275;1
0.709852124;1
0.635529335;0
0.680884304;1
0.534214829;0
0.559448111;0
0.702952604;0
0.686423898;0
0.600713717;0
0.563362641;0
0.676741927;0
0.687511755;0
0.678499979;0
0.793206139;0
0.85490471;0
0.577313796;0
0.689351075;0
0.694441979;0
0.603525762;0
0.64801113;0
0.68020857;0
0.571368383;0
0.528555073;1
0.651719521;0
0.639261573;1
0.501881815;0
0.838882513;1
0.542317256;1
0.742056952;1
0.756010825;0
0.573289512;1
0.66702074;0
0.728027729;0
0.677287931;0
0.818418916;0
0.699526328;0
0.585176688;0
0.537677316;0
0.671825521;0
0.580343717;0
0.671617353;0
0.635270845;1
0.708413888;0
0.572712835;0
0.648670926;0
0.50653878;0
0.622088071;0
0.584492262;0
0.76012506;0
0.679621425;1
0.774555202;0
0.832545186;0
0.700681217;1
0.572443806;0
0.604170571;0
0.546634669;1
0.694393824;0
0.607060952;1
0.720324724;0
0.565638175;0
0.72275168;0
0.511391466;1
0.654607922;0
0.643482829;1
0.766518401;1
0.531706163;1
0.626664373;0
0.685938518;0
0.716676055;0
0.702081822;0
0.75313549;0
0.741100675;0
0.694693079;1
0.727872242;1
0.547063442;0
0.600621482;1
0.603686437;0
0.702497312;0
0.714147702;1
0.628924972;0
0.623548548;1
0.862486532;0
0.714719206;0
0.659791339;0
0.650693355;0
0.507569422;0
0.701707837;0
0.620262772;0
0.638634185;0
0.7364534;0
0.73091152;0
0.712254533;0
0.634905927;0
0.648895787;0
0.642309171;1
0.715082906;0
0.590887896;0
0.786237421;0
0.683892673;0
0.730157681;0
0.688240127;0
0.733909336;0
0.531165071;0
0.5785244;0
0.626001708;0
0.733751016;0
0.68794779;0
0.682119935;0
0.670674179;0
0.550436242;0
0.734361701;0
0.578746166;0
0.70359015;0
0.766079559;0
0.726426368;0
0.726016341;1
0.628451612;1
0.646363714;0
0.666075548;0
0.705496077;1
