P(fav);avg;Y
0.622249261;2273.98;0
0.657749725;2111.13;0
0.788985295;2197.95;0
0.820700911;2286.18;0
0.594631022;2243.33;1
0.537961452;1989.32;1
0.633565484;2056;0
0.500041673;2175.1;0
0.526166776;2058.73;0
0.563149651;2229.73;0
0.782180081;2146.95;0
0.734649273;2195.6;0
0.713895946;2043.72;1
0.758929651;1997.38;1
0.624493167;2148.61;0
0.653726739;2086.51;1
0.55127913;2279.89;1
0.778623639;2269.96;0
0.67023982;2146.94;0
0.510442998;2099.39;1
0.517019768;2193.28;1
0.671689393;2071.42;1
0.674032656;2040.93;1
0.759724046;2387.12;0
0.693745878;2143.46;0
0.501469965;2035.5;1
0.521445285;2154.11;1
0.646463684;2103.94;1
0.635202373;2095.02;0
0.555218982;2168.05;0
0.743175081;2185.84;0
0.836256988;2103.77;0
0.773006445;2164.05;1
0.636766631;2092.57;0
0.686206034;2060.73;0
0.549560128;2334.68;0
0.647735952;2096.72;1
0.585921531;2119.56;1
0.744688177;2176.6;0
0.797591418;2357.13;0
0.708545136;2130.85;0
0.55310211;1969.22;0
0.647663784;2116.6;0
0.55595168;2200.45;0
0.610233402;2057.84;1
0.638074393;2073.81;0
0.765266317;2165.91;0
0.805859569;2041.76;0
0.60092458;2303.52;1
0.628237216;2107.68;0
0.705099496;2118.79;1
0.543872825;2161.73;0
0.687353023;2046.37;0
0.596345901;2159.12;0
0.759238513;2197.55;0
0.784073134;2378.44;0
0.557241606;2008.92;0
0.667856952;2081.98;0
0.703535136;2079.25;0
0.655252846;2137.69;1
0.53241692;2132.39;0
0.566513207;2135.43;0
0.514933592;2364.16;0
0.733302173;2173.56;0
0.617698603;2277.31;0
0.734640468;2096.32;1
0.606377077;2071.2;0
0.642218605;2029.49;0
0.651362658;2120.82;0
0.745163207;2246.16;0
0.887223112;2272.28;0
0.520404534;1949.82;1
0.592114828;2136.94;0
0.608056913;2110.63;0
0.609845789;2169.96;1
0.548520631;2103.58;0
0.824905093;2027.67;1
0.565851754;2268.46;0
0.690324815;2065.44;0
0.647737558;2163.1;0
0.648801144;2305.96;1
0.580234072;2047.77;0
0.697718504;2141.23;0
0.773504782;2112.66;0
0.708161296;2256.74;0
0.804578513;2349.01;0
0.527463817;1988.79;0
0.643336126;2036.72;1
0.584421761;2180.53;0
0.571740547;2199.8;0
0.593822795;2048.37;0
0.742504169;2115.35;0
0.738614501;2205.9;0
0.632832275;2103.36;1
0.709852124;2181.47;1
0.635529335;2085.23;0
0.680884304;2046.58;1
0.534214829;2090.14;0
0.559448111;2241.62;0
0.702952604;2184.4;0
0.686423898;2216.9;0
0.600713717;2064.51;0
0.563362641;2294.23;0
0.676741927;2082.8;0
0.687511755;2080.93;0
0.678499979;2000.42;0
0.793206139;2169.35;0
0.85490471;2304.33;0
0.577313796;2250.38;0
0.689351075;2160.18;0
0.694441979;2110.25;0
0.603525762;2147.67;0
0.64801113;2033.21;0
0.68020857;2133.79;0
0.571368383;2021.85;0
0.528555073;2186.14;1
0.651719521;2125.04;0
0.639261573;2059.82;1
0.501881815;2156.9;0
0.838882513;2249.79;1
0.542317256;2355.83;1
0.742056952;2245.29;1
0.756010825;2132.39;0
0.573289512;2135.28;1
0.66702074;2101.68;0
0.728027729;2011.3;0
0.677287931;2084.85;0
0.818418916;2286.95;0
0.699526328;2152.05;0
0.585176688;2105.33;0
0.537677316;2168.98;0
0.671825521;2085.57;0
0.580343717;2225.24;0
0.671617353;2083.73;0
0.635270845;2073.58;1
0.708413888;2237.27;0
0.572712835;2349.17;0
0.648670926;2055.76;0
0.50653878;2189.61;0
0.622088071;2106.89;0
0.584492262;2074.75;0
0.76012506;2024.76;0
0.679621425;2089.51;1
0.774555202;2183.57;0
0.832545186;2270.75;0
0.700681217;2139.6;1
0.572443806;2091.88;0
0.604170571;2077.66;0
0.546634669;2250.19;1
0.694393824;2092.42;0
0.607060952;2087.92;1
0.720324724;2115.82;0
0.565638175;2341.08;0
0.72275168;2200.82;0
0.511391466;2188.68;1
0.654607922;2091.13;0
0.643482829;2080.91;1
0.766518401;1991.44;1
0.531706163;2288.09;1
0.626664373;2133.65;0
0.685938518;2047.64;0
0.716676055;2141.26;0
0.702081822;2069.73;0
0.75313549;2228.67;0
0.741100675;2123.52;0
0.694693079;2166.69;1
0.727872242;2280.31;1
0.547063442;2313.93;0
0.600621482;2160.04;1
0.603686437;2023.39;0
0.702497312;2095.18;0
0.714147702;2116.23;1
0.628924972;2134.08;0
0.623548548;2037.45;1
0.862486532;2263.35;0
0.714719206;2163.87;0
0.659791339;2193.73;0
0.650693355;2159.86;0
0.507569422;2243.86;0
0.701707837;1981.64;0
0.620262772;2105.45;0
0.638634185;2049.21;0
0.7364534;2270.37;0
0.73091152;2091.63;0
0.712254533;2145.6;0
0.634905927;2112.7;0
0.648895787;2224.08;0
0.642309171;2230;1
0.715082906;2031.57;0
0.590887896;2063.02;0
0.786237421;2351.33;0
0.683892673;2212.67;0
0.730157681;2075.68;0
0.688240127;2132.43;0
0.733909336;2113.2;0
0.531165071;2171.76;0
0.5785244;2144.91;0
0.626001708;2024.49;0
0.733751016;2234.86;0
0.68794779;2192.56;0
0.682119935;2213.4;0
0.670674179;2031.41;0
0.550436242;2105.08;0
0.734361701;2126.62;0
0.578746166;2298.52;0
0.70359015;2055.18;0
0.766079559;2384.86;0
0.726426368;2179.18;0
0.726016341;2127.31;1
0.628451612;2190.08;1
0.646363714;2228.72;0
0.666075548;2038.16;0
0.705496077;2011;1
0.574318786;2115.03;1
0.804373052;2351.73;0
0.606490433;2021.78;1
0.645341935;2212.31;1
0.705257415;2114.31;0
0.754137386;2138.58;0
0.57231326;2076.98;0
0.533306003;2161.61;0
0.518850271;2126.62;0
0.803587632;2127.97;0
0.756039303;2135.78;0
0.708256568;2191.85;1
0.654509996;2174.98;0
0.637112527;2278.63;0
0.730917423;2104.01;0
0.702479172;2052.95;0
0.613509189;2186.84;0
0.762838165;2149.91;1
0.859453127;2284.97;0
0.514929455;2086.66;0
0.7370003;2106.99;1
0.654002482;2141.22;1
0.665889613;2249.67;0
0.607884119;2058.06;0
0.530683682;2133.89;0
0.776556412;2133.07;0
0.781081253;2098.99;0
0.728007577;2081.15;0
0.52119691;2134.77;0
0.651724918;2180.04;0
0.549482187;2129.67;0
0.576231007;2326.13;0
0.621649499;2069.23;1
0.842669465;2285.11;0
0.503466555;2186.02;0
0.607899952;2159.94;0
0.542548;2111.09;1
0.726251343;2130.46;1
0.576680864;2116.95;1
0.640186703;2097.53;1
0.656655546;2122.1;0
0.758839517;2185.45;0
0.639088651;1984.05;0
0.654283082;2219.76;0
0.715799647;2174.05;1
0.525612588;2166.36;0
0.591268344;2004.24;1
0.588246841;2116.93;0
0.640359787;2295.7;0
0.549455247;2377.66;0
0.714735478;2059.39;0
0.607897084;2002.29;0
0.735296876;2029.87;1
0.602056417;2173.42;0
0.557304985;2158.25;1
0.617855924;2064.73;1
0.759747187;2221.79;1
0.888331552;2241.77;0
0.788150488;2113.24;0
0.621067485;2054.94;0
0.726207931;2107.29;0
0.61586214;2075.5;0
0.567973177;2152.55;1
0.827675494;2402.29;0
0.758228321;2111.57;0
0.572990185;2192.01;1
0.601882608;2162.55;0
0.685545664;2083.35;0
0.658910918;2070.42;0
0.574889701;2133.86;0
0.727503343;2201.86;1
0.684659296;2171.57;0
0.626749404;2029.5;1
0.65925972;1974.16;0
0.799057456;2069.6;0
0.553791262;2160.38;0
0.64210997;2059.78;0
0.814390799;2404.68;1
0.584893343;2262.28;0
0.712273189;2058.09;0
0.690929473;2028.43;0
0.67770388;2124.74;0
0.649221307;2076.97;0
0.538024424;2109.81;0
0.77361884;2188.41;0
0.745233727;2188.21;0
0.52580009;2126.43;0
0.67806409;1936.16;0
0.669313721;2145.93;0
0.707868784;2049.49;0
0.60204999;2295.01;0
0.882324722;2270.38;0
0.694701079;2197.01;0
0.739140965;2158.59;0
0.691079546;2020.39;1
0.547986371;2012.91;0
0.660933231;2111.08;0
0.523784803;2086.66;0
0.52157539;2423.69;1
0.656105381;2237.47;1
